page,url,status,duration,size,type
"login","http://localhost/login",200,133,,
"login","http://localhost/assets/index-BvmHCWba.css",200,9,,
"login","http://localhost/assets/index-DkHfjn7y.js",200,154,,
"login","https://fonts.googleapis.com/css2?family=Plus+Jakarta+Sans:wght@400;500;600;700&display=swap",200,184,,
"login","https://api.fontshare.com/v2/css?f[]=clash-display@200,300,400,500,600,700&f[]=satoshi@300,400,500,700,900&display=swap",200,199,,
"login","https://cdn.fontshare.com/wf/P2LQKHE6KA6ZP4AAGN72KDWMHH6ZH3TA/ZC32TK2P7FPS5GFTL46EU6KQJA24ZYDB/7AHDUZ4A7LFLVFUIFSARGIWCRQJHISQP.woff2",200,189,,
"login","https://cdn.fontshare.com/wf/BFBSY7LX5W2U2EROCLVVTQP4VS7S4PC3/IIUX4FGTMD2LK2VWD3RVTAS4SSMUN7B5/53RZKGODFYDW3QHTIL7IPOWTBCSUEZK7.woff2",200,191,,
"login","https://cdn.fontshare.com/wf/TTX2Z3BF3P6Y5BQT3IV2VNOK6FL22KUT/7QYRJOI3JIMYHGY6CH7SOIFRQLZOLNJ6/KFIAZD4RUMEZIYV6FQ3T3GP5PDBDB6JY.woff2",200,203,,
"login","http://localhost/api/v1/auth/login",200,224,,
"login","http://localhost/api/v1/auth/me",200,18,,
"login","http://localhost/api/v1/notifications",307,16,,
"login","https://cdn.fontshare.com/wf/LAFFD4SDUCDVQEXFPDC7C53EQ4ZELWQI/PXCT3G6LO6ICM5I3NTYENYPWJAECAWDD/GHM6WVH6MILNYOOCXHXB5GTSGNTMGXZR.woff2",200,28,,
"login","https://cdn.fontshare.com/wf/FPDAZ2S6SW4QMSRIIKNNGTPM6VIXYMKO/5HNPQ453FRLIQWV2FNOBUU3FKTDZQVSG/Z3MGHFHX6DCTLQ55LJYRJ5MDCZPMFZU6.woff2",200,27,,
"login","https://cdn.fontshare.com/wf/2GQIT54GKQY3JRFTSHS4ARTRNRQISSAA/3CIP5EBHRRHE5FVQU3VFROPUERNDSTDF/JTSL5QESUXATU47LCPUNHZQBDDIWDOSW.woff2",200,65,,
"login","http://localhost/api/v1/extracted_data/invoices?skonto_expiring_soon=true&per_page=10",404,1891,,
"login","http://localhost/api/v1/documents?limit=5&sort=date_desc",307,1891,,
"dashboard","http://localhost/api/v1/finance/deadlines?days_ahead=3",200,2929,,
"dashboard","http://localhost/",200,1006,,
"dashboard","http://localhost/api/v1/companies",500,3867,,
"dashboard","http://localhost/assets/index-DkHfjn7y.js",200,,,
"dashboard","http://localhost/assets/index-BvmHCWba.css",200,1,,
"dashboard","https://fonts.googleapis.com/css2?family=Plus+Jakarta+Sans:wght@400;500;600;700&display=swap",200,,,
"dashboard","https://api.fontshare.com/v2/css?f[]=clash-display@200,300,400,500,600,700&f[]=satoshi@300,400,500,700,900&display=swap",200,,,
"dashboard","https://cdn.fontshare.com/wf/2GQIT54GKQY3JRFTSHS4ARTRNRQISSAA/3CIP5EBHRRHE5FVQU3VFROPUERNDSTDF/JTSL5QESUXATU47LCPUNHZQBDDIWDOSW.woff2",200,,,
"dashboard","https://cdn.fontshare.com/wf/FPDAZ2S6SW4QMSRIIKNNGTPM6VIXYMKO/5HNPQ453FRLIQWV2FNOBUU3FKTDZQVSG/Z3MGHFHX6DCTLQ55LJYRJ5MDCZPMFZU6.woff2",200,,,
"dashboard","https://cdn.fontshare.com/wf/BFBSY7LX5W2U2EROCLVVTQP4VS7S4PC3/IIUX4FGTMD2LK2VWD3RVTAS4SSMUN7B5/53RZKGODFYDW3QHTIL7IPOWTBCSUEZK7.woff2",200,,,
"dashboard","https://cdn.fontshare.com/wf/TTX2Z3BF3P6Y5BQT3IV2VNOK6FL22KUT/7QYRJOI3JIMYHGY6CH7SOIFRQLZOLNJ6/KFIAZD4RUMEZIYV6FQ3T3GP5PDBDB6JY.woff2",200,,,
"dashboard","https://cdn.fontshare.com/wf/P2LQKHE6KA6ZP4AAGN72KDWMHH6ZH3TA/ZC32TK2P7FPS5GFTL46EU6KQJA24ZYDB/7AHDUZ4A7LFLVFUIFSARGIWCRQJHISQP.woff2",200,,,
"dashboard","https://cdn.fontshare.com/wf/LAFFD4SDUCDVQEXFPDC7C53EQ4ZELWQI/PXCT3G6LO6ICM5I3NTYENYPWJAECAWDD/GHM6WVH6MILNYOOCXHXB5GTSGNTMGXZR.woff2",200,,,
"dashboard","http://localhost/api/v1/notifications",307,2454,,
"dashboard","http://localhost/api/v1/extracted_data/invoices?skonto_expiring_soon=true&per_page=10",404,2832,,
"dashboard","http://localhost/api/v1/companies",500,4866,,
"dashboard","http://localhost/api/v1/documents?limit=5&sort=date_desc",307,4866,,
"dashboard","http://localhost/api/v1/finance/deadlines?days_ahead=3",200,4867,,
